,nbr of visits,accuracy,recall,f1
0,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
1,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
2,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
3,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
4,42,0.610269146355554,0.609217973893962,0.6097431070803896
5,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
6,62,0.7583573986369421,0.7473720688460281,0.752824660981663
7,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
8,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
9,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
10,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
11,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
12,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
13,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
14,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
15,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
16,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
17,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
18,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
19,192,0.8274681375380248,0.782026106041359,0.8041056226868584
20,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
21,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
22,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
23,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
24,42,0.610269146355554,0.609217973893962,0.6097431070803896
25,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
26,62,0.7583573986369421,0.7473720688460281,0.752824660981663
27,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
28,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
29,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
30,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
31,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
32,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
33,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
34,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
35,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
36,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
37,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
38,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
39,192,0.8274681375380248,0.782026106041359,0.8041056226868584
40,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
41,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
42,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
43,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
44,42,0.610269146355554,0.609217973893962,0.6097431070803896
45,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
46,62,0.7583573986369421,0.7473720688460281,0.752824660981663
47,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
48,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
49,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
50,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
51,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
52,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
53,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
54,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
55,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
56,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
57,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
58,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
59,192,0.8274681375380248,0.782026106041359,0.8041056226868584
60,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
61,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
62,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
63,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
64,42,0.610269146355554,0.609217973893962,0.6097431070803896
65,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
66,62,0.7583573986369421,0.7473720688460281,0.752824660981663
67,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
68,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
69,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
70,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
71,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
72,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
73,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
74,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
75,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
76,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
77,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
78,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
79,192,0.8274681375380248,0.782026106041359,0.8041056226868584
80,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
81,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
82,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
83,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
84,42,0.610269146355554,0.609217973893962,0.6097431070803896
85,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
86,62,0.7583573986369421,0.7473720688460281,0.752824660981663
87,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
88,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
89,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
90,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
91,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
92,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
93,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
94,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
95,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
96,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
97,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
98,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
99,192,0.8274681375380248,0.782026106041359,0.8041056226868584
100,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
101,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
102,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
103,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
104,42,0.610269146355554,0.609217973893962,0.6097431070803896
105,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
106,62,0.7583573986369421,0.7473720688460281,0.752824660981663
107,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
108,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
109,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
110,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
111,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
112,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
113,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
114,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
115,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
116,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
117,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
118,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
119,192,0.8274681375380248,0.782026106041359,0.8041056226868584
120,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
121,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
122,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
123,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
124,42,0.610269146355554,0.609217973893962,0.6097431070803896
125,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
126,62,0.7583573986369421,0.7473720688460281,0.752824660981663
127,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
128,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
129,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
130,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
131,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
132,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
133,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
134,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
135,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
136,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
137,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
138,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
139,192,0.8274681375380248,0.782026106041359,0.8041056226868584
140,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
141,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
142,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
143,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
144,42,0.610269146355554,0.609217973893962,0.6097431070803896
145,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
146,62,0.7583573986369421,0.7473720688460281,0.752824660981663
147,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
148,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
149,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
150,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
151,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
152,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
153,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
154,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
155,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
156,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
157,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
158,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
159,192,0.8274681375380248,0.782026106041359,0.8041056226868584
160,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
161,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
162,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
163,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
164,42,0.610269146355554,0.609217973893962,0.6097431070803896
165,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
166,62,0.7583573986369421,0.7473720688460281,0.752824660981663
167,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
168,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
169,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
170,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
171,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
172,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
173,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
174,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
175,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
176,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
177,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
178,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
179,192,0.8274681375380248,0.782026106041359,0.8041056226868584
180,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
181,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
182,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
183,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
184,42,0.610269146355554,0.609217973893962,0.6097431070803896
185,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
186,62,0.7583573986369421,0.7473720688460281,0.752824660981663
187,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
188,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
189,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
190,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
191,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
192,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
193,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
194,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
195,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
196,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
197,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
198,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
199,192,0.8274681375380248,0.782026106041359,0.8041056226868584
200,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
201,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
202,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
203,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
204,42,0.610269146355554,0.609217973893962,0.6097431070803896
205,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
206,62,0.7583573986369421,0.7473720688460281,0.752824660981663
207,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
208,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
209,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
210,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
211,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
212,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
213,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
214,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
215,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
216,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
217,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
218,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
219,192,0.8274681375380248,0.782026106041359,0.8041056226868584
220,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
221,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
222,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
223,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
224,42,0.610269146355554,0.609217973893962,0.6097431070803896
225,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
226,62,0.7583573986369421,0.7473720688460281,0.752824660981663
227,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
228,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
229,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
230,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
231,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
232,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
233,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
234,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
235,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
236,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
237,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
238,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
239,192,0.8274681375380248,0.782026106041359,0.8041056226868584
240,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
241,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
242,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
243,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
244,42,0.610269146355554,0.609217973893962,0.6097431070803896
245,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
246,62,0.7583573986369421,0.7473720688460281,0.752824660981663
247,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
248,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
249,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
250,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
251,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
252,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
253,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
254,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
255,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
256,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
257,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
258,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
259,192,0.8274681375380248,0.782026106041359,0.8041056226868584
260,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
261,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
262,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
263,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
264,42,0.610269146355554,0.609217973893962,0.6097431070803896
265,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
266,62,0.7583573986369421,0.7473720688460281,0.752824660981663
267,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
268,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
269,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
270,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
271,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
272,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
273,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
274,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
275,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
276,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
277,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
278,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
279,192,0.8274681375380248,0.782026106041359,0.8041056226868584
280,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
281,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
282,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
283,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
284,42,0.610269146355554,0.609217973893962,0.6097431070803896
285,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
286,62,0.7583573986369421,0.7473720688460281,0.752824660981663
287,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
288,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
289,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
290,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
291,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
292,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
293,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
294,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
295,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
296,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
297,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
298,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
299,192,0.8274681375380248,0.782026106041359,0.8041056226868584
300,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
301,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
302,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
303,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
304,42,0.610269146355554,0.609217973893962,0.6097431070803896
305,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
306,62,0.7583573986369421,0.7473720688460281,0.752824660981663
307,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
308,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
309,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
310,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
311,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
312,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
313,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
314,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
315,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
316,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
317,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
318,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
319,192,0.8274681375380248,0.782026106041359,0.8041056226868584
320,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
321,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
322,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
323,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
324,42,0.610269146355554,0.609217973893962,0.6097431070803896
325,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
326,62,0.7583573986369421,0.7473720688460281,0.752824660981663
327,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
328,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
329,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
330,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
331,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
332,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
333,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
334,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
335,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
336,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
337,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
338,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
339,192,0.8274681375380248,0.782026106041359,0.8041056226868584
340,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
341,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
342,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
343,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
344,42,0.610269146355554,0.609217973893962,0.6097431070803896
345,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
346,62,0.7583573986369421,0.7473720688460281,0.752824660981663
347,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
348,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
349,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
350,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
351,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
352,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
353,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
354,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
355,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
356,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
357,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
358,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
359,192,0.8274681375380248,0.782026106041359,0.8041056226868584
360,2,0.5414231257941563,0.5407184937045182,0.5410705803401856
361,12,0.5414231257941563,0.5407184937045182,0.5410705803401856
362,22,0.5648723576296657,0.5641677255400275,0.5645198217049728
363,32,0.6769088598821803,0.6758692387663203,0.6763886498455531
364,42,0.610269146355554,0.609217973893962,0.6097431070803896
365,52,0.5697816795656636,0.5689037772900484,0.5693423900058621
366,62,0.7583573986369421,0.7473720688460281,0.752824660981663
367,72,0.7149243386854601,0.7070578722421197,0.7109693466492883
368,82,0.7747307894703126,0.7031304146933092,0.7371961314651643
369,92,0.8906292916458025,0.8195679796696369,0.8536222825654564
370,102,0.8106362224532444,0.7672403835046824,0.7883415519938297
371,112,0.7918062454275965,0.7396326672057286,0.7648307227726675
372,122,0.5812406145315928,0.5589696199607233,0.5698876147259336
373,132,0.7951782757691347,0.7115628970775103,0.7510505026293239
374,142,0.7213558712923411,0.6441030380039282,0.6805441086774665
375,152,0.8153055330946126,0.7776365946632801,0.7960256776662844
376,162,0.8846559624196174,0.8397828347002487,0.8616355571401384
377,172,0.7944502201173073,0.7343190481691125,0.7632020626738356
378,182,0.6801894420700029,0.6109506757537224,0.6437135575551078
379,192,0.8274681375380248,0.782026106041359,0.8041056226868584
